P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,12.0,0.9,1.0,0.00225,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,12.0,0.9,1.0,0.00225,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,12.0,0.9,1.0,0.00225,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,12.0,0.9,1.0,0.00225,0.0,1
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,22.0,0.9,1.0,0.009,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,22.0,0.9,1.0,0.009,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,22.0,0.9,1.0,0.009,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,22.0,0.9,1.0,0.009,0.0,1
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,20.0,12.0,0.9,1.0,0.00225,0.0,1
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,20.0,12.0,0.9,1.0,0.00225,0.0,1
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,20.0,12.0,0.9,1.0,0.00225,0.0,1
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,20.0,12.0,0.9,1.0,0.00225,0.0,1
24038.01,18395.16,5642.85,17596.13,12587.8,5008.33,20.0,22.0,0.9,1.0,0.009,0.0,1
24038.01,18395.16,5642.85,19090.94,8998.75,10092.19,20.0,22.0,0.9,1.0,0.009,0.0,1
24038.01,18395.16,5642.85,11645.82,6863.96,4781.86,20.0,22.0,0.9,1.0,0.009,0.0,1
24038.01,18395.16,5642.85,22846.1,18106.61,4739.49,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,20.0,12.0,0.9,1.0,0.00225,0.0,1
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,20.0,12.0,0.9,1.0,0.00225,0.0,1
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,20.0,12.0,0.9,1.0,0.00225,0.0,1
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,20.0,12.0,0.9,1.0,0.00225,0.0,1
14941.81,13080.81,1860.99,13030.55,10354.6,2675.95,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,21051.12,17486.73,3564.39,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,20383.09,11493.21,8889.88,20.0,22.0,0.9,1.0,0.009,0.0,1
14941.81,13080.81,1860.99,24845.89,23337.87,1508.03,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,12.0,0.9,1.0,0.00225,0.0,1
26020.2,23665.35,2354.85,22627.59,21228.28,1399.31,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,23951.87,16837.54,7114.32,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,17207.36,9151.02,8056.35,20.0,22.0,0.9,1.0,0.009,0.0,1
26020.2,23665.35,2354.85,15152.96,12968.13,2184.83,20.0,22.0,0.9,1.0,0.009,0.0,1
